"1","nagisa","1","4","3000",NULL,NULL,NULL,"709","662","1402","2",,"0","2",,,"2019-01-31 23:12:29","2021-01-04 06:43:11"
"2","titan","1","4","2060",NULL,NULL,NULL,"61","49","114","1",,"7797","2",,,"2019-02-02 01:26:52","2020-07-26 02:46:56"
"3","dorachan","1","1","2610",NULL,NULL,NULL,"392","368","786","1",,"0","2",,,"2019-02-02 01:29:44","2020-07-25 23:31:36"
"4","mickey","1","3","2690",NULL,NULL,NULL,"717","705","1445","2",,"0","2",,,"2019-02-02 01:30:45","2020-11-02 01:56:20"
"5","Joutsen","1","1","1980",NULL,NULL,NULL,"52","62","117","2",,"0","2",,,"2019-02-02 01:32:26","2020-03-28 07:05:00"
"6","teranyan","1","1","3290",NULL,NULL,NULL,"31","39","74","2",,"0","2",,,"2019-02-02 01:33:57","2019-02-02 01:33:57"
"7","noah","1","1","2350",NULL,NULL,NULL,"81","78","164","2",,"0","2",,,"2019-02-02 01:34:40","2019-02-02 01:34:40"
"8","esplender","1","1","2020",NULL,NULL,NULL,"254","264","527","2",,"0","2",,,"2019-02-02 01:35:02","2021-02-16 00:10:06"
"9","sippo","1","1","1180",NULL,NULL,NULL,"109","146","257","2",,"0","2",,,"2019-02-02 01:35:28","2022-06-05 21:19:44"
"10","murasaki","1","1","1190",NULL,NULL,NULL,"157","170","337","1",,"6607","2",,,"2019-02-02 01:36:52","2021-10-30 01:19:50"
"11","Forcas","1","1","3330",NULL,NULL,NULL,"30","17","51","2",,"0","0",,,"2019-02-03 15:27:29","2019-02-03 15:27:29"
"12","Avaneel","1","1","1220",NULL,NULL,NULL,"13","11","24","1",,"2511","0",,,"2019-02-03 15:27:37","2020-09-19 23:11:15"
"13","mecchi","1","1","1100",NULL,NULL,NULL,"391","469","868","2",,"0","0",,,"2019-02-03 15:27:43","2022-05-02 02:38:10"
"14","imasime","1","3","4590",NULL,NULL,NULL,"443","412","866","2",,"0","0",,,"2019-02-03 15:27:50","2022-08-01 23:57:43"
"15","sasaki","1","1","3180",NULL,NULL,NULL,"306","296","609","1",,"0","0",,,"2019-02-03 15:27:58","2020-08-30 23:44:21"
"16","cola","1","1","2500",NULL,NULL,NULL,"91","101","201","2",,"0","0",,,"2019-02-03 15:28:06","2019-02-03 15:28:06"
